DIGNIDAD_CODIGO|DIGNIDAD_NOMBRE|PROVINCIA_CODIGO|PROVINCIA_NOMBRE|CANTON_CODIGO|CANTON_NOMBRE|CIRCUNSCRIPCION_CODIGO|CICUNSCRIPCION_NOMBRE|CIRCUNSCRIPCION|PARROQUIA_CODIGO|PARROQUIA_NOMBRE|JUNTA_SEXO|CANDIDATO_CODIGO|SUFRAGANTES|BLANCOS|NULOS|VOTOS|CANDIDATO_NOMBRE|OP_CODIGO|OP_NOMBRE
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|905.0|CHIQUINTAD|F|13581.0|1749.0|124.0|161.0|1.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|905.0|CHIQUINTAD|M|13581.0|1418.0|91.0|110.0|7.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2255.0|LLACAO|F|13581.0|1695.0|129.0|123.0|38.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2255.0|LLACAO|M|13581.0|1482.0|93.0|112.0|35.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2430.0|MOLLETURO|F|13581.0|2672.0|500.0|293.0|64.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2430.0|MOLLETURO|M|13581.0|2595.0|555.0|296.0|52.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2570.0|MULTI /  NULTI|F|13581.0|2023.0|111.0|129.0|9.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2570.0|MULTI /  NULTI|M|13581.0|1830.0|127.0|121.0|13.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2595.0|OCTAVIO CORDERO PALACIOS|F|13581.0|835.0|93.0|104.0|20.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2595.0|OCTAVIO CORDERO PALACIOS|M|13581.0|649.0|63.0|64.0|18.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2680.0|PACCHA|F|13581.0|1971.0|123.0|142.0|6.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|2680.0|PACCHA|M|13581.0|1649.0|83.0|106.0|4.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3105.0|QUINGEO|F|13581.0|2669.0|326.0|295.0|23.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3105.0|QUINGEO|M|13581.0|2120.0|200.0|170.0|30.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3165.0|RICAURTE|F|13581.0|7353.0|361.0|589.0|79.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3165.0|RICAURTE|M|13581.0|6613.0|272.0|544.0|85.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3460.0|SAN JOAQUIN|F|13581.0|3686.0|187.0|244.0|22.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3460.0|SAN JOAQUIN|M|13581.0|3296.0|154.0|228.0|22.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3685.0|SANTA ANA|F|13581.0|2443.0|263.0|252.0|16.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3685.0|SANTA ANA|M|13581.0|2047.0|162.0|174.0|16.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3795.0|SAYAUSI|F|13581.0|4854.0|233.0|433.0|27.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3795.0|SAYAUSI|M|13581.0|4243.0|196.0|354.0|29.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3850.0|SIDCAY|F|13581.0|1523.0|148.0|148.0|14.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3850.0|SIDCAY|M|13581.0|1216.0|88.0|100.0|11.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3870.0|SININCAY|F|13581.0|4646.0|399.0|404.0|24.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3870.0|SININCAY|M|13581.0|3639.0|238.0|290.0|26.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3980.0|TARQUI|F|13581.0|4160.0|395.0|435.0|28.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|3980.0|TARQUI|M|13581.0|3365.0|230.0|307.0|22.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|4095.0|TURI|F|13581.0|2796.0|241.0|246.0|13.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|4095.0|TURI|M|13581.0|2338.0|127.0|182.0|14.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|4200.0|VALLE|F|13581.0|7051.0|397.0|489.0|45.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|4200.0|VALLE|M|13581.0|6063.0|270.0|376.0|37.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|4225.0|VICTORIA DEL PORTETE|F|13581.0|1998.0|236.0|174.0|3.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|260.0|CUENCA|0.0|0.0|CIRCUNSCRIPCION RURAL|4225.0|VICTORIA DEL PORTETE|M|13581.0|1558.0|146.0|137.0|5.0|CESAR PIEDRA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|780.0|OÑA|0.0|0.0||1540.0|SUSUDEL|F|19775.0|375.0|7.0|12.0|49.0|GALO OCHOA AGUIRRE|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|780.0|OÑA|0.0|0.0||1540.0|SUSUDEL|M|19775.0|320.0|9.0|12.0|33.0|GALO OCHOA AGUIRRE|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|780.0|OÑA|0.0|0.0||6360.0|OÑA|F|19775.0|1219.0|58.0|81.0|75.0|GALO OCHOA AGUIRRE|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|1.0|AZUAY|780.0|OÑA|0.0|0.0||6360.0|OÑA|M|19775.0|1068.0|37.0|77.0|48.0|GALO OCHOA AGUIRRE|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|6.0|CHIMBORAZO|210.0|GUAMOTE|0.0|0.0||555.0|CEBADAS|F|27238.0|2959.0|261.0|509.0|81.0|MIGUEL MARCATOMA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|6.0|CHIMBORAZO|210.0|GUAMOTE|0.0|0.0||555.0|CEBADAS|M|27238.0|2797.0|180.0|289.0|77.0|MIGUEL MARCATOMA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|6.0|CHIMBORAZO|210.0|GUAMOTE|0.0|0.0||2730.0|PALMIRA|F|27238.0|4188.0|530.0|515.0|473.0|MIGUEL MARCATOMA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|6.0|CHIMBORAZO|210.0|GUAMOTE|0.0|0.0||2730.0|PALMIRA|M|27238.0|3855.0|223.0|346.0|429.0|MIGUEL MARCATOMA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|6.0|CHIMBORAZO|210.0|GUAMOTE|0.0|0.0||5430.0|GUAMOTE|F|27238.0|9117.0|534.0|1307.0|250.0|MIGUEL MARCATOMA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|6.0|CHIMBORAZO|210.0|GUAMOTE|0.0|0.0||5430.0|GUAMOTE|M|27238.0|8683.0|329.0|734.0|217.0|MIGUEL MARCATOMA|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||325.0|BELLAVISTA|F|30636.0|925.0|59.0|86.0|19.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||325.0|BELLAVISTA|M|30636.0|922.0|65.0|70.0|34.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||1665.0|BELLAMARIA|F|30636.0|637.0|61.0|45.0|21.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||1665.0|BELLAMARIA|M|30636.0|654.0|89.0|52.0|27.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||1815.0|JAMBELI|F|30636.0|225.0|30.0|8.0|1.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||1815.0|JAMBELI|M|30636.0|246.0|38.0|18.0|1.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||2005.0|LA AVANZADA|F|30636.0|758.0|44.0|73.0|14.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||2005.0|LA AVANZADA|M|30636.0|775.0|95.0|55.0|23.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||3330.0|SAN ANTONIO|F|30636.0|483.0|34.0|26.0|23.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||3330.0|SAN ANTONIO|M|30636.0|449.0|36.0|24.0|16.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||4215.0|VICTORIA|F|30636.0|820.0|76.0|132.0|30.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||4215.0|VICTORIA|M|30636.0|919.0|133.0|114.0|16.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||4525.0|TORATA|F|30636.0|636.0|38.0|50.0|9.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||4525.0|TORATA|M|30636.0|674.0|68.0|50.0|10.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6060.0|SANTA ROSA|F|30636.0|20469.0|769.0|1626.0|1308.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6060.0|SANTA ROSA|M|30636.0|20293.0|1103.0|1547.0|1163.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6670.0|PUERTO JELI|F|30636.0|292.0|14.0|44.0|37.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6670.0|PUERTO JELI|M|30636.0|321.0|19.0|33.0|26.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6900.0|BALNEARIO JAMBELI|F|30636.0|64.0|8.0|17.0|0.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6900.0|BALNEARIO JAMBELI|M|30636.0|56.0|4.0|10.0|1.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6985.0|JUMON|F|30636.0|238.0|14.0|18.0|0.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6985.0|JUMON|M|30636.0|228.0|18.0|19.0|5.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6990.0|NUEVO SANTA ROSA|F|30636.0|455.0|31.0|42.0|22.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|355.0|SANTA ROSA|0.0|0.0||6990.0|NUEVO SANTA ROSA|M|30636.0|435.0|29.0|53.0|32.0|WILSON YOVANNY MERINO SANCHEZ|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|360.0|ZARUMA|0.0|0.0||5.0|ABANIN|F|10522.0|548.0|96.0|46.0|115.0|JHANSY LOPEZ JUMBO|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|360.0|ZARUMA|0.0|0.0||5.0|ABANIN|M|10522.0|588.0|112.0|30.0|130.0|JHANSY LOPEZ JUMBO|25.0|PARTIDO POLÍTICO AVANZA
4.0|ALCALDE|7.0|EL ORO|360.0|ZARUMA|0.0|0.0||1420.0|GUANAZAN|F|10522.0|1132.0|197.0|147.0|209.0|JHANSY LOPEZ JUMBO|25.0|PARTIDO POLÍTICO AVANZA
